Crushing Load,APRT VLS 0.007(NT=1), APRT VLS 0.007(NT=2), MAX VLS (160V), MAX VLS (140V)
20.00,37.14,71.43,682.45,588.46
40.00,73.63,146.03,573.39,535.30
60.00,110.11,220.64,464.33,482.15
85.00,155.72,313.89,328.00,415.70
100.00,183.08,369.84,246.20,375.84
120.00,219.57,444.44,137.14,322.68
124.00,226.87,459.36,111.00,312.05
128.00,234.17,474.29,85.00,301.42
130.00,237.81,481.75,70.00,296.11
133.00,243.29,492.94,40.00,288.13
134.00,245.11,496.67,25.00,285.48
135.00,246.94,500.40,14.00,282.82
136.00,248.76,504.13,0.00,280.16
140.00,256.06,519.05,0.00,269.53
160.00,292.54,593.65,0.00,216.38
180.00,329.03,668.25,0.00,163.22
200.00,365.52,742.86,0.00,110.07
220.00,402.00,817.46,0.00,56.91
240.00,438.49,892.06,0.00,3.76
260.00,474.97,966.66,0.00,0.00

